5.9326 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
5.9327 	EXP 	window1: mouseVisible = True
5.9365 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.5, 0.5, 0.5]), colorSpace='rgb', contrast=0.5, depth=-2.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([8., 8.]), size=array([0.3, 0.3]), tex='sin', texRes=128.0, units='height', win=Window(...))
0.0153 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (4).
0.0294 	EXP 	grating: ori = 10.0
0.0294 	EXP 	fixation: autoDraw = True
0.5292 	INFO 	Keyboard events cleared
0.5287 	EXP 	grating: autoDraw = True
0.5287 	EXP 	grating: tex = 'sin'
0.5463 	EXP 	fixation: autoDraw = False
0.8301 	EXP 	grating: autoDraw = False
1.0384 	DATA 	Keypress: right
1.0458 	EXP 	fixation: autoDraw = False
1.0458 	EXP 	grating: autoDraw = False
1.0458 	EXP 	grating: ori = -8.0
1.0458 	EXP 	fixation: autoDraw = True
1.5470 	INFO 	Keyboard events cleared
1.5465 	EXP 	fixation: autoDraw = False
1.5465 	EXP 	grating: autoDraw = True
1.8461 	EXP 	grating: autoDraw = False
2.0708 	DATA 	Keypress: left
2.0801 	EXP 	fixation: autoDraw = False
2.0801 	EXP 	grating: autoDraw = False
2.0801 	EXP 	grating: ori = 6.0
2.0801 	EXP 	fixation: autoDraw = True
2.5810 	INFO 	Keyboard events cleared
2.5803 	EXP 	fixation: autoDraw = False
2.5803 	EXP 	grating: autoDraw = True
2.8800 	EXP 	grating: autoDraw = False
3.1023 	DATA 	Keypress: right
3.1130 	EXP 	fixation: autoDraw = False
3.1130 	EXP 	grating: autoDraw = False
3.1130 	EXP 	grating: ori = 4.0
3.1130 	EXP 	fixation: autoDraw = True
3.6142 	INFO 	Keyboard events cleared
3.6135 	EXP 	fixation: autoDraw = False
3.6135 	EXP 	grating: autoDraw = True
3.9138 	EXP 	grating: autoDraw = False
4.2702 	DATA 	Keypress: right
4.2805 	EXP 	fixation: autoDraw = False
4.2805 	EXP 	grating: autoDraw = False
4.2805 	EXP 	grating: ori = 2.0
4.2805 	EXP 	fixation: autoDraw = True
4.7810 	INFO 	Keyboard events cleared
4.7803 	EXP 	fixation: autoDraw = False
4.7803 	EXP 	grating: autoDraw = True
5.0802 	EXP 	grating: autoDraw = False
5.5685 	DATA 	Keypress: left
5.5794 	EXP 	fixation: autoDraw = False
5.5794 	EXP 	grating: autoDraw = False
5.5794 	EXP 	grating: ori = 3.0
5.5794 	EXP 	fixation: autoDraw = True
6.0804 	INFO 	Keyboard events cleared
6.0796 	EXP 	fixation: autoDraw = False
6.0796 	EXP 	grating: autoDraw = True
6.3801 	EXP 	grating: autoDraw = False
6.6330 	DATA 	Keypress: left
6.6624 	EXP 	fixation: autoDraw = False
6.6624 	EXP 	grating: autoDraw = False
6.6624 	EXP 	grating: ori = 4.0
6.6624 	EXP 	fixation: autoDraw = True
7.1632 	INFO 	Keyboard events cleared
7.1626 	EXP 	fixation: autoDraw = False
7.1626 	EXP 	grating: autoDraw = True
7.4635 	EXP 	grating: autoDraw = False
7.7205 	DATA 	Keypress: right
7.7298 	EXP 	fixation: autoDraw = False
7.7298 	EXP 	grating: autoDraw = False
7.7298 	EXP 	grating: ori = 4.0
7.7298 	EXP 	fixation: autoDraw = True
